turn_number,feature,n_doctronic,n_drkhan,mean_doctronic,mean_drkhan,U,p_raw,p_fdr,effect_r,sig_fdr,inferential_status,fdr_scope
1,word_count,1029,1000,45.78134110787172,80.533,242129.5,9.51344593736205e-95,3.6608703353899533e-94,0.5293887269193391,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,sentence_count,1029,1000,2.7191448007774537,6.273,138413.0,7.533545607081105e-191,8.808453325202522e-190,0.7309757045675414,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,avg_sentence_length,1029,1000,16.88194363459669,12.95369,844911.5,1.4066699618853853e-138,8.068446573833154e-138,-0.6421992225461612,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,paragraph_count,1029,1000,1.0,1.992,174415.5,2.172671826345962e-216,3.0022374327689654e-215,0.661,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,question_count,1029,1000,0.282798833819242,3.288,1341.0,0.0,0.0,0.997393586005831,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,mattr,1029,1000,0.8964992225461613,0.7807394999999999,1002845.0,4.435435359632769e-300,6.741861746641809e-298,-0.9491642371234208,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,flesch_reading_ease,1029,1000,69.9357725947522,77.90238000000001,295100.5,4.214087413660737e-62,1.1753051135347378e-61,0.4264324586977648,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,avg_word_length,1029,1000,4.3958007774538395,4.203037,654147.0,3.502715024053837e-26,5.66396471974663e-26,-0.2714227405247813,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,medical_term_count,1029,1000,0.010689990281827016,0.082,487520.5,3.029469843406842e-10,3.805615009899504e-10,0.052438289601554944,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,urgency_score,1029,1000,0.31584062196307094,0.089,551477.5,3.399615745761403e-10,4.2530172292652947e-10,-0.07187074829931972,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,warning_signs_count,1029,1000,0.6268221574344023,0.946,366231.5,5.614875674673805e-37,1.0872115956056285e-36,0.28817978620019435,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,medication_specificity,1029,1000,0.001943634596695821,0.016,510884.0,0.017273855340840184,0.018889395768400777,0.007028182701652064,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,differential_count,1029,1000,0.0029154518950437317,0.021,505219.0,8.803811229849978e-05,0.00010176268493818984,0.018038872691933938,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,emergency_advice,1029,1000,0.10398445092322643,0.017,559253.5,2.943755709074855e-16,4.0863092947888393e-16,-0.08698445092322649,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,safety_warning_count,1029,1000,0.3935860058309038,0.859,315604.5,1.1440368214285518e-65,3.4778719371427974e-65,0.3865801749271137,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,risk_language_score,1029,1000,0.4956268221574344,0.896,317174.5,1.385504486520501e-64,4.1702313257646765e-64,0.3835286686103012,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,empathy_score,1029,1000,0.5189504373177842,1.177,344757.0,5.2485335627004584e-51,1.2867372605330156e-50,0.3299183673469388,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,reassurance_count,1029,1000,0.4295432458697765,0.0,735500.0,2.1804025485299957e-121,1.0043066284138162e-120,-0.42954324586977655,True,confirmatory_turn1,global_all_turn_x_feature_tests
1,politeness_count,1029,1000,0.7842565597667639,1.133,363348.0,6.816375825955641e-35,1.2712750006690273e-34,0.2937842565597668,True,confirmatory_turn1,global_all_turn_x_feature_tests
2,word_count,1011,1000,41.60138476755687,117.889,91585.0,7.704454269913446e-222,1.1153114752636606e-220,0.8188229475766567,True,exploratory_turn2,global_all_turn_x_feature_tests
2,sentence_count,1011,1000,3.1869436201780417,6.99,166981.0,3.6570147255496223e-153,2.5854243641095006e-152,0.6696716122650841,True,exploratory_turn2,global_all_turn_x_feature_tests
2,avg_sentence_length,1011,1000,14.581998021760633,16.84093,282292.0,6.53524004804056e-66,2.0067807824286164e-65,0.4415588526211671,True,exploratory_turn2,global_all_turn_x_feature_tests
2,paragraph_count,1011,1000,1.0,2.226,185518.5,2.6420446353981723e-201,3.212726276644177e-200,0.633,True,exploratory_turn2,global_all_turn_x_feature_tests
2,question_count,1011,1000,1.7626112759643917,2.694,249705.0,3.0867283237607595e-93,1.1443480614917937e-92,0.5060237388724036,True,exploratory_turn2,global_all_turn_x_feature_tests
2,mattr,1011,1000,0.9140608308605342,0.8276741999999999,849274.0,4.5737317452972474e-154,3.3105105965961024e-153,-0.6800672601384767,True,exploratory_turn2,global_all_turn_x_feature_tests
2,flesch_reading_ease,1011,1000,78.14254203758655,61.92999,883279.0,4.113184842913319e-185,4.0335748136956417e-184,-0.7473372898120672,True,exploratory_turn2,global_all_turn_x_feature_tests
2,avg_word_length,1011,1000,4.420137487636004,4.6860100000000005,299270.5,1.64991738321921e-56,4.438715792023361e-56,0.407971315529179,True,exploratory_turn2,global_all_turn_x_feature_tests
2,medical_term_count,1011,1000,0.03560830860534125,0.192,476490.0,1.009542305835189e-07,1.2375034716689413e-07,0.05738872403560835,True,exploratory_turn2,global_all_turn_x_feature_tests
2,urgency_score,1011,1000,0.10880316518298715,0.112,502538.5,0.501755689974518,0.5188222100416785,0.005858555885262073,False,exploratory_turn2,global_all_turn_x_feature_tests
2,warning_signs_count,1011,1000,0.7181008902077152,1.951,213048.5,1.1512380809651018e-121,5.384251947898322e-121,0.5785390702274975,True,exploratory_turn2,global_all_turn_x_feature_tests
2,medication_specificity,1011,1000,0.003956478733926805,0.214,426733.0,4.6845838739563516e-38,9.369167747912703e-38,0.15581998021760635,True,exploratory_turn2,global_all_turn_x_feature_tests
2,differential_count,1011,1000,0.01582591493570722,0.354,371512.0,7.001598156269908e-63,2.008005508967974e-62,0.26506033630069237,True,exploratory_turn2,global_all_turn_x_feature_tests
2,emergency_advice,1011,1000,0.03560830860534125,0.027,509851.5,0.2680414002752355,0.28391841701627735,-0.00860830860534123,False,exploratory_turn2,global_all_turn_x_feature_tests
2,safety_warning_count,1011,1000,0.2878338278931751,0.315,507638.5,0.7982107624452313,0.8008451213971957,-0.004230464886251228,False,exploratory_turn2,global_all_turn_x_feature_tests
