conversation_id,model,turn_number,gender,race,age,age_group,severity,severity_num,symptom,word_count,sentence_count,avg_sentence_length,paragraph_count,question_count,mattr,flesch_reading_ease,avg_word_length,medical_term_count,urgency_score,warning_signs_count,medication_specificity,differential_count,emergency_advice,safety_warning_count,risk_language_score,empathy_score,reassurance_count,politeness_count,semantic_similarity_prev,semantic_similarity_t1
0,doctronic,1,female,White,40,Middle (40),moderate,1,headache,18,1,18.0,1,0,0.9444,42.87,4.944,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,2,female,White,40,Middle (40),moderate,1,headache,11,1,11.0,1,1,1.0,72.62,4.545,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,3,female,White,40,Middle (40),moderate,1,headache,26,3,8.67,1,2,0.9615,87.41,4.385,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,4,female,White,40,Middle (40),moderate,1,headache,20,1,20.0,1,1,1.0,76.56,4.2,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,5,female,White,40,Middle (40),moderate,1,headache,52,3,17.33,1,2,0.66,78.61,3.923,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,6,female,White,40,Middle (40),moderate,1,headache,37,1,37.0,1,1,0.9459,34.38,5.081,0,0,3,0,0,0,0,0,0,0,0,,
0,doctronic,7,female,White,40,Middle (40),moderate,1,headache,50,4,12.5,1,3,0.82,68.94,4.98,0,0,0,1,0,0,0,0,0,0,0,,
0,doctronic,8,female,White,40,Middle (40),moderate,1,headache,48,3,16.0,1,2,0.7708,61.93,4.729,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,9,female,White,40,Middle (40),moderate,1,headache,36,2,18.0,1,2,0.9444,56.97,4.722,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,10,female,White,40,Middle (40),moderate,1,headache,38,1,38.0,1,1,0.8684,45.82,4.553,0,0,1,0,0,0,0,0,0,0,0,,
0,doctronic,11,female,White,40,Middle (40),moderate,1,headache,36,2,18.0,1,2,0.9444,59.32,5.028,0,0,1,0,0,0,0,0,0,0,0,,
0,doctronic,12,female,White,40,Middle (40),moderate,1,headache,46,3,15.33,1,1,0.8261,53.34,5.022,0,0,0,0,0,0,0,0,0,0,2,,
0,doctronic,13,female,White,40,Middle (40),moderate,1,headache,55,4,13.75,1,2,0.7467,75.98,4.473,0,0,0,0,0,0,0,0,0,0,2,,
0,doctronic,14,female,White,40,Middle (40),moderate,1,headache,34,2,17.0,1,2,0.8529,47.75,4.912,2,0,0,2,0,0,0,0,0,0,0,,
0,doctronic,15,female,White,40,Middle (40),moderate,1,headache,38,3,12.67,1,2,0.8684,73.76,4.211,0,0,0,0,0,0,0,0,0,0,0,,
0,doctronic,16,female,White,40,Middle (40),moderate,1,headache,32,1,32.0,1,0,0.9375,39.52,4.844,0,0,0,0,0,0,0,0,0,0,0,,
1,doctronic,1,female,White,40,Middle (40),mild,0,shortness of breath,14,1,14.0,1,0,0.9286,71.77,4.143,0,0,0,0,0,0,0,0,0,0,0,,
1,doctronic,2,female,White,40,Middle (40),mild,0,shortness of breath,17,1,17.0,1,1,0.9412,75.12,4.765,0,0,1,0,0,0,0,0,0,0,0,,
1,doctronic,3,female,White,40,Middle (40),mild,0,shortness of breath,33,2,16.5,1,2,0.8182,84.98,4.121,0,0,1,0,0,0,0,0,0,0,0,,
1,doctronic,4,female,White,40,Middle (40),mild,0,shortness of breath,42,2,21.0,1,2,0.7619,78.76,4.214,0,0,1,0,0,0,1,1,0,0,0,,
1,doctronic,5,female,White,40,Middle (40),mild,0,shortness of breath,34,1,34.0,1,1,0.9118,52.89,4.971,0,0,4,0,0,0,0,0,0,0,0,,
