model,feature,comparison,n_a,n_b,mean_a,mean_b,U,p_raw,p_fdr,effect_r,sig_fdr
doctronic,word_count,short vs long_turn1,865,1029,90.10057803468209,45.78134110787172,712674.0,6.199576607495132e-113,1.9631992590401253e-112,-0.6013616677058933,True
doctronic,sentence_count,short vs long_turn1,865,1029,5.760693641618497,2.7191448007774537,748577.0,9.843778893749594e-151,3.6199703028627536e-150,-0.6820348618390379,True
doctronic,avg_sentence_length,short vs long_turn1,865,1029,15.891722543352602,16.88194363459669,385659.0,5.368594316767854e-07,7.200232377782768e-07,0.13343332378368356,True
doctronic,paragraph_count,short vs long_turn1,865,1029,1.0,1.0,445042.5,1.0,1.0,0.0,False
doctronic,question_count,short vs long_turn1,865,1029,0.0,0.282798833819242,322212.5,5.783978466012491e-63,1.4029224364370722e-62,0.2759961127308066,True
doctronic,mattr,short vs long_turn1,865,1029,0.8767254335260116,0.8964992225461613,314947.5,4.902327182715095e-28,9.979737479098587e-28,0.2923203963666391,True
doctronic,flesch_reading_ease,short vs long_turn1,865,1029,54.48923699421965,69.9357725947522,100255.5,5.740892597885768e-186,2.4239324302184355e-185,0.7747282562901296,True
doctronic,avg_word_length,short vs long_turn1,865,1029,5.13016647398844,4.3958007774538395,834538.5,9.768492745936739e-237,5.061855331985401e-236,-0.8751883247105614,True
doctronic,medical_term_count,short vs long_turn1,865,1029,0.5479768786127167,0.010689990281827016,584892.0,2.742009973782375e-79,7.26951481421374e-79,-0.31423852778105466,True
doctronic,urgency_score,short vs long_turn1,865,1029,2.2358381502890174,0.31584062196307094,803311.0,7.5766724375383155e-236,3.755394164692904e-235,-0.8050208687934299,True
doctronic,warning_signs_count,short vs long_turn1,865,1029,3.561849710982659,0.6268221574344023,817472.0,1.0904368126336867e-233,5.179574860010012e-233,-0.8368403017689321,True
doctronic,medication_specificity,short vs long_turn1,865,1029,0.7179190751445087,0.001943634596695821,639537.0,2.9033258144379195e-122,9.456546938454938e-122,-0.43702455383474614,True
doctronic,differential_count,short vs long_turn1,865,1029,0.14450867052023122,0.0029154518950437317,507914.5,1.0806766380489831e-34,2.281428458103409e-34,-0.1412719009982193,True
doctronic,emergency_advice,short vs long_turn1,865,1029,0.3375722543352601,0.10398445092322643,548999.0,2.178233261387065e-35,4.685256449021234e-35,-0.23358780341203378,True
doctronic,safety_warning_count,short vs long_turn1,865,1029,1.4716763005780347,0.3935860058309038,671498.5,2.4372161656151684e-100,6.946066072003231e-100,-0.5088412904385535,True
doctronic,risk_language_score,short vs long_turn1,865,1029,1.569942196531792,0.4956268221574344,662163.0,9.956581723985775e-93,2.7684154061814103e-92,-0.4878646421409192,True
doctronic,empathy_score,short vs long_turn1,865,1029,1.6369942196531793,0.5189504373177842,694106.5,5.785029881734861e-130,1.9984648682356792e-129,-0.559640933169304,True
doctronic,reassurance_count,short vs long_turn1,865,1029,0.009248554913294798,0.4295432458697765,257993.5,1.2805519457587012e-101,3.743151841448511e-101,0.42029469095648164,True
doctronic,politeness_count,short vs long_turn1,865,1029,1.3560693641618498,0.7842565597667639,633362.0,1.7085118408925606e-63,4.234138040472868e-63,-0.42314947448839146,True
doctronic,word_count,short vs long_all,865,12584,90.10057803468209,42.54640813731723,9884695.5,0.0,0.0,-0.8161782647200408,True
doctronic,sentence_count,short vs long_all,865,12584,5.760693641618497,2.570883661792753,10000559.5,0.0,0.0,-0.8374666977793619,True
doctronic,avg_sentence_length,short vs long_all,865,12584,15.891722543352602,17.34724729815639,4798040.0,5.309792848533872e-09,7.292968490757366e-09,0.11842545263459614,True
doctronic,paragraph_count,short vs long_all,865,12584,1.0,1.0,5442580.0,1.0,1.0,0.0,False
doctronic,question_count,short vs long_all,865,12584,0.0,1.1557533375715194,1636147.5,7.90758621039701e-288,6.439034485608995e-287,0.6993801652892562,True
