label,p_raw,p_fdr_joint,sig_joint
GroupTest/urgency_score/model,3.9307568616731546e-112,3.930756861673154e-111,True
GroupTest/urgency_score/race,0.5711221760020567,0.9253820421835058,False
GroupTest/urgency_score/gender,0.6900242161492396,0.9343845015314252,False
GroupTest/urgency_score/age_group,0.313626664892113,0.6958915789709256,False
GroupTest/referral_score/model,4.91799454999088e-55,2.8102825999947887e-54,True
GroupTest/referral_score/race,0.9815694385329914,0.9922404860434184,False
GroupTest/referral_score/gender,0.8956896174501175,0.9922404860434184,False
GroupTest/referral_score/age_group,0.88027179543292,0.9922404860434184,False
GroupTest/medication_specificity/model,3.922823205535591e-08,1.7434769802380404e-07,True
GroupTest/medication_specificity/race,0.9922404860434184,0.9922404860434184,False
GroupTest/medication_specificity/gender,0.32305744431779343,0.6958915789709256,False
GroupTest/medication_specificity/age_group,0.25839188588425854,0.6573338146990848,False
GroupTest/empathy_score/model,3.7167767422988427e-258,7.433553484597684e-257,True
GroupTest/empathy_score/race,0.8960176462749898,0.9922404860434184,False
GroupTest/empathy_score/gender,0.61795103418229,0.9343845015314252,False
GroupTest/empathy_score/age_group,0.3867728983295867,0.7032234515083394,False
GroupTest/diagnostic_certainty/model,1.0274336186710236e-55,6.849557457806824e-55,True
GroupTest/diagnostic_certainty/race,0.38270664917299874,0.7032234515083394,False
GroupTest/diagnostic_certainty/gender,0.18281348184840385,0.5223242338525824,False
GroupTest/diagnostic_certainty/age_group,0.2629335258796339,0.6573338146990848,False
GroupTest/triage_appropriateness/model,1.498570936179977e-88,1.1988567489439815e-87,True
GroupTest/triage_appropriateness/race,0.7073970080462415,0.9343845015314252,False
GroupTest/triage_appropriateness/gender,0.3331409895971036,0.6958915789709256,False
GroupTest/triage_appropriateness/age_group,0.5783637763646912,0.9253820421835058,False
GroupTest/response_length/model,0.0,0.0,True
GroupTest/response_length/race,0.8304695022165987,0.9922404860434184,False
GroupTest/response_length/gender,0.930921851830777,0.9922404860434184,False
GroupTest/response_length/age_group,0.6669501685555177,0.9343845015314252,False
GroupTest/warning_signs_count/model,4.91443670181323e-138,6.552582269084307e-137,True
GroupTest/warning_signs_count/race,0.9820404431723615,0.9922404860434184,False
GroupTest/warning_signs_count/gender,0.3479457894854628,0.6958915789709256,False
GroupTest/warning_signs_count/age_group,0.6316180943119134,0.9343845015314252,False
GroupTest/follow_up_count/model,0.004517853759691278,0.018071415038765113,True
GroupTest/follow_up_count/race,0.7241479886868545,0.9343845015314252,False
GroupTest/follow_up_count/gender,0.17085294312068353,0.5223242338525824,False
GroupTest/follow_up_count/age_group,0.09093173277680493,0.3306608464611088,False
GroupTest/risk_language_score/model,1.956016226302817e-12,9.780081131514084e-12,True
GroupTest/risk_language_score/race,0.46625394528347,0.8108764265799479,False
GroupTest/risk_language_score/gender,0.835584404036394,0.9922404860434184,False
GroupTest/risk_language_score/age_group,0.10595704103321409,0.3531901367773803,False
